Data_Hora,idTweet,Tweet,Candidato,Tweet_limpo
2022-07-30 23:22:02+00:00,1553521330632507401,"UOL: Opinião: Reinaldo Azevedo - Bolsonaro anuncia trapaça para simular participação militar em ato golpista.
https://t.co/uJFj4is02h

através do @GoogleNews",Bolsonaro,uol: opinião: reinaldo azevedo - bolsonaro anuncia trapaça para simular participação militar em ato golpista..co/ujfj4is02hatravés do 
2022-07-30 23:22:00+00:00,1553521318691315713,"@acmtoya @mendlowicz Sim, milhões acreditaram que Bolsonaro n ia se juntar com centrão, típica politicagem Brasileira.",Bolsonaro,"  sim, milhões acreditaram que bolsonaro n ia se juntar com centrão, típica politicagem brasileira."
2022-07-30 23:21:59+00:00,1553521317110026240,@CarlaZambelli38 @jairbolsonaro Mas o poder de compra é o mesmo do que no Brasil? Se for de 1 pra 1 aí sim.,Bolsonaro,  mas o poder de compra é o mesmo do que no brasil? se for de 1 pra 1 aí sim.
2022-07-30 23:21:58+00:00,1553521310948593665,"@WagnerBota @FranPaula1986 Tadinho dos banqueiros, Bolsonaro quebrou as penas deles! Kkkkkkkkkkkk https://t.co/R3fB3evmzJ",Bolsonaro,"  tadinho dos banqueiros, bolsonaro quebrou as penas deles! kkkkkkkkkkkk .co/r3fb3evmzj"
2022-07-30 23:21:55+00:00,1553521301440139271,"@LulaOficial @ricardostuckert Eu amo o meu País.
❤️ Bolsonaro ❤️
Ganha no primeiro turno 💕 https://t.co/9bypwi7ZMW",Bolsonaro,  eu amo o meu país.❤️ bolsonaro ❤️ganha no primeiro turno 💕 .co/9bypwi7zmw
2022-07-30 23:21:55+00:00,1553521300827668481,"@duduzinho_10 @LulaOficial Somos a vergonha para os
Corruptos iguais aquele que vc apoia. Bolsonaro 22",Bolsonaro,  somos a vergonha para oscorruptos iguais aquele que vc apoia. bolsonaro 22
2022-07-30 23:21:55+00:00,1553521300383170562,@Jota45070854 @LindaTannus @CarlaZambelli38 @jairbolsonaro Tmj amigo. Vamos crescer todos juntos e reeleger Bolsonaro 🇧🇷🙏💪🇧🇷,Bolsonaro,    tmj amigo. vamos crescer todos juntos e reeleger bolsonaro 🇧🇷🙏💪🇧🇷
2022-07-30 23:21:54+00:00,1553521293424730112,"@Jeanskull02 @biaipacheco @jairbolsonaro Bora Capitão nós vamos vencer em nome do Todo Poderoso Deus.🙏🙏🇧🇷🇧🇷🇧🇷💚💛💚💛🇧🇷🇧🇷🇧🇷💚💛💚💛🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷
É por nós é por eles que tá valendo a pena.Obrigada Deus pela ajuda . https://t.co/W4VP1vsxS9",Bolsonaro,   bora capitão nós vamos vencer em nome do todo poderoso deus.🙏🙏🇧🇷🇧🇷🇧🇷💚💛💚💛🇧🇷🇧🇷🇧🇷💚💛💚💛🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷é por nós é por eles que tá valendo a pena.obrigada deus pela ajuda . .co/w4vp1vsxs9
2022-07-30 23:21:53+00:00,1553521292900548608,"Ciro Nogueira é vaiado em convenção do PDT no Piauí: “Fora bolsonarista, fora Bolsonaro!"" (vídeo) https://t.co/9HMnyRgica",Bolsonaro,"ciro nogueira é vaiado em convenção do pdt no piauí: “fora bolsonarista, fora bolsonaro!"" (vídeo) .co/9hmnyrgica"
2022-07-30 23:21:53+00:00,1553521291906490368,Jair Bolsonaro not being dead at least 5 times over is proof god is not real,Bolsonaro,jair bolsonaro not being dead at least 5 times over is proof god is not real
